Id,Code,Level,Time,Venue,VenueId,Title,Authors,pubURL,pdf,video,github,bib,doi,image,pages,Rate,ResearchArea,Application,Demo,Highlight
J3,J,1,11-Feb-20,Environmental Earth Sciences Journal,Impact factor: 1.871,"AgasedViz: Visualizing Groundwater Availability of Ogallala Aquifer, USA","Tommy Dang,Vung Pham,Huyen Nguyen,Ngan Nguyen",https://link.springer.com/article/10.1007/s12665-020-8851-6,https://rdcu.be/b2eT4,,https://AgasedViz.github.io,BibTex/AgasedViz.html,https://doi.org/10.1007/s12665-020-8851-6,images/papers/AgasedViz.png,,,DataVis,E,,3
W2,W,,12-Dec-19,2019 IEEE International Conference on Big Data (Big Data),BigData,"HackerNets: Visualizing Media Conversations on Internet of Things, Big Data, and Cybersecurity","Hao Van,Huyen Nguyen,Rattikorn Hewett,Tommy Dang",https://ieeexplore.ieee.org/document/9006417,papers/2019-HackerNets-BigData.pdf,,,BibTex/HackerNets.html,https://doi.org/10.1109/BigData47090.2019.9006417,images/papers/HackerNets.png,,,"IoT,BigData,DataVis",,,
J2,J,1,1-Dec-19,Journal of Smart and Sustainable Manufacturing Systems,Impact factor: 2.217,Visualization and Explainable Machine Learning for Efficient Manufacturing and System Operations,"Dy Le,Vung Pham,Huyen Nguyen,Tommy Dang",https://www.astm.org/DIGITAL_LIBRARY/JOURNALS/SSMS/PAGES/SSMS20190029.htm,https://www.astm.org/DIGITAL_LIBRARY/JOURNALS/SSMS/PAGES/SSMS20190029.htm,,,BibTex/Manufacturing.html,https://doi.org/10.1520/SSMS20190029,images/papers/Airplane1.png,vr,,DataVis,,,5
C2,C,,20-Oct-19,2019 IEEE Conference on Visual Analytics Science and Technology (VAST),VAST,EQSA: Earthquake Situational Analytics from Social Media,"Huyen Nguyen,Tommy Dang",https://ieeexplore.ieee.org/abstract/document/8986947,papers/2019-EQSA-VAST.pdf,https://www.youtube.com/watch?v=CxqILM1OKos,,BibTex/EQSA.html,https://doi.org/10.1109/VAST47406.2019.8986947,images/papers/EQSA.png,,,DataVis,,https://idatavisualizationlab.github.io/VAST2019mc3/,1
C1,C,,3-Jun-19,EuroVis - 21st EG/VGTC Conference on Visualization,"Tommy Dang,Huyen Nguyen,Vung Pham",WordStream: Interactive Visualization for Topic Evolution,,https://diglib.eg.org/handle/10.2312/evs20191178,https://diglib.eg.org/bitstream/handle/10.2312/evs20191178/103-107.pdf,,,https://diglib.eg.org/handle/10.2312/evs20191178,https://doi.org/10.2312/evs.20191178,images/papers/wordstream.png,,,DataVis,,https://huyen-nguyen.github.io/WordStream/,2
W1,W,,10-Dec-18,2018 IEEE International Conference on Big Data (Big Data),,IoTNegViz: An Interactive Tool for Visualizing Negative Aspects of IoT,"Huyen Nguyen,Vinh Nguyen,Ngan Nguyen,Vung Pham,TommyDang",https://ieeexplore.ieee.org/document/8621984,papers/2018-IoTNegViz-BigData.pdf,,,BibTex/IoTNegViz.html,https://doi.org/10.1109/BigData.2018.8621984,images/papers/IoTNegViz.png,,,"DataVis,IoT,BigData",,,4
J1,J,,30-Jun-18,ICSES Transactions on Computer Networks and Communications,ITCNC,Wavelet-based Energy Efficient Data Collection Algorithm in Wireless Sensor Networks,"Minh Nguyen,Huyen Nguyen,Keith Teague",http://www.i-cses.com/itcnc/manuscript.php?jID=3&pID=123,http://www.i-cses.com/itcnc/Archive/V4N2/ITCNC_2018-04-24_123.pdf,,,,doi.org/10.31424/icses.itcnc.2018.v4.n2,images/papers/Wsn.png,,,WSN,,,
